Player,D.J. Augustin,Wade Baldwin,J.J. Barea,Jerryd Bayless,Eric Bledsoe,Aaron Brooks,Bobby Brown,Trey Burke,Jose Calderon,Michael Carter-Williams,Semaj Christon,Darren Collison,Mike Conley,Seth Curry,Stephen Curry,Malcolm Delaney,Matthew Dellavedova,Toney Douglas,Goran Dragic,Kris Dunn,Tyler Ennis,Dante Exum,Jordan Farmar,Kay Felder,Raymond Felton,Yogi Ferrell,Tim Frazier,Langston Galloway,Jonathan Gibson,Jerian Grant,James Harden,Devin Harris,George Hill,Jrue Holiday,Marcelo Huertas,Kyrie Irving,Demetrius Jackson,Reggie Jackson,Brandon Jennings,Tyus Jones,Nicolas Laprovittola,Ty Lawson,Damian Lillard,Jeremy Lin,Shaun Livingston,Kyle Lowry,John Lucas III,Shelvin Mack,T.J. McConnell,Patrick Mills,Emmanuel Mudiay,Dejounte Murray,Shabazz Napier,Jameer Nelson,Raul Neto,Tony Parker,Chris Paul,Elfrid Payton,Brian Roberts,Sergio Rodriguez,Rajon Rondo,Derrick Rose,Terry Rozier,Ricky Rubio,D'Angelo Russell,Dennis Schroder,Ramon Sessions,Marcus Smart,Ish Smith,Rodney Stuckey,Jeff Teague,Isaiah Thomas,Beno Udrih,Tyler Ulis,Fred VanVleet,Greivis Vasquez,Kemba Walker,John Wall,C.J. Watson,Russell Westbrook,Isaiah Whitehead,Deron Williams,Joe Young
Rk,21.0,24.0,26.0,32.0,47.0,56.0,58.0,62.0,65.0,71.0,78.0,81.0,83.0,91.0,92.0,99.0,100.0,106.0,107.0,111.0,118.0,119.0,121.0,123.0,125.0,126.0,131.0,134.0,141.0,151.0,161.0,164.0,181.0,185.0,193.0,201.0,202.0,203.0,208.0,220.0,234.0,237.0,247.0,248.0,249.0,254.0,255.0,258.0,269.0,283.0,292.0,294.0,298.0,300.0,301.0,319.0,322.0,324.0,344.0,347.0,348.0,349.0,351.0,352.0,355.0,359.0,364.0,369.0,370.0,379.0,381.0,385.0,396.0,397.0,400.0,402.0,409.0,410.0,413.0,415.0,416.0,421.0,432.0
Age,29.0,20.0,32.0,28.0,27.0,32.0,32.0,24.0,35.0,25.0,24.0,29.0,29.0,26.0,28.0,27.0,26.0,30.0,30.0,22.0,22.0,21.0,30.0,21.0,32.0,23.0,26.0,25.0,29.0,24.0,27.0,33.0,30.0,26.0,33.0,24.0,22.0,26.0,27.0,20.0,27.0,29.0,26.0,28.0,31.0,30.0,34.0,26.0,24.0,28.0,20.0,20.0,25.0,34.0,24.0,34.0,31.0,22.0,31.0,30.0,30.0,28.0,22.0,26.0,20.0,23.0,30.0,22.0,28.0,30.0,28.0,27.0,34.0,21.0,22.0,30.0,26.0,26.0,32.0,28.0,21.0,32.0,24.0
G,23.0,17.0,9.0,3.0,22.0,19.0,6.0,17.0,14.0,3.0,21.0,13.0,17.0,17.0,23.0,23.0,20.0,3.0,17.0,22.0,15.0,23.0,2.0,8.0,22.0,10.0,23.0,23.0,11.0,15.0,22.0,5.0,11.0,9.0,11.0,20.0,4.0,3.0,22.0,15.0,13.0,21.0,24.0,5.0,22.0,22.0,5.0,24.0,23.0,23.0,22.0,11.0,13.0,23.0,10.0,15.0,23.0,23.0,5.0,23.0,19.0,21.0,22.0,17.0,13.0,23.0,22.0,19.0,24.0,12.0,22.0,21.0,21.0,13.0,5.0,3.0,22.0,19.0,18.0,22.0,17.0,13.0,15.0
GS,7.0,1.0,5.0,1.0,22.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,16.0,6.0,23.0,0.0,20.0,0.0,17.0,5.0,0.0,11.0,0.0,0.0,1.0,0.0,22.0,0.0,0.0,3.0,22.0,0.0,11.0,3.0,1.0,20.0,0.0,3.0,1.0,0.0,3.0,14.0,24.0,5.0,0.0,22.0,0.0,3.0,0.0,4.0,22.0,1.0,0.0,6.0,0.0,15.0,23.0,16.0,0.0,22.0,19.0,21.0,0.0,17.0,13.0,23.0,0.0,6.0,21.0,0.0,22.0,21.0,0.0,0.0,0.0,0.0,22.0,19.0,0.0,22.0,11.0,13.0,0.0
MP,20.2,16.5,33.1,23.7,31.9,15.0,3.7,11.6,13.9,15.0,13.1,30.6,32.2,27.9,33.5,16.6,28.4,13.3,33.5,17.7,8.3,21.0,17.5,9.1,17.0,15.1,30.6,21.3,18.5,13.2,36.7,15.0,32.7,28.4,11.7,34.0,4.3,22.3,22.2,13.5,11.7,25.8,35.7,26.8,17.3,37.4,2.2,21.6,18.3,23.7,30.2,4.2,6.1,27.0,4.1,25.7,31.5,29.0,4.2,27.3,31.2,31.9,18.5,30.5,26.8,29.6,16.5,30.1,29.1,20.1,31.6,33.3,17.5,10.9,2.6,13.0,33.5,36.0,11.7,35.7,22.8,29.0,6.3
FG,3.2,1.5,5.7,3.7,6.5,2.3,0.2,2.1,1.9,1.3,1.1,4.6,6.1,4.1,8.5,2.0,3.3,1.3,6.5,1.5,1.1,2.4,2.0,1.0,2.1,1.8,3.7,3.6,3.1,1.4,8.4,1.0,7.1,6.1,0.9,9.2,0.8,4.3,2.6,1.2,1.4,2.6,8.8,5.2,2.0,6.8,0.2,3.1,1.4,4.0,4.5,0.4,0.8,3.9,0.7,3.7,5.7,4.4,0.2,3.5,3.6,6.6,2.3,1.9,5.7,6.1,1.8,3.6,4.4,3.3,5.0,8.0,2.9,1.4,0.6,0.7,8.4,8.5,0.6,10.3,2.4,4.4,1.3
FGA,7.5,4.6,13.7,10.7,14.7,5.5,2.0,4.6,3.9,5.0,3.6,9.5,13.8,9.6,17.3,5.4,7.9,3.3,14.5,3.8,2.8,6.2,6.0,3.1,4.7,4.9,8.9,9.1,7.9,4.5,18.5,3.4,13.3,13.2,2.8,19.1,1.0,11.0,6.8,2.9,3.1,6.6,19.3,11.6,3.5,15.1,0.8,7.3,3.6,8.2,12.8,1.3,2.3,8.6,1.4,8.5,12.4,9.9,1.4,8.9,9.1,14.7,5.6,5.5,13.8,14.0,4.8,9.7,10.5,7.1,12.1,18.8,6.3,3.5,1.0,2.7,18.0,18.7,2.2,24.1,6.5,11.3,3.3
FGP,0.424,0.316,0.415,0.344,0.443,0.423,0.083,0.443,0.481,0.267,0.307,0.484,0.44,0.421,0.489,0.376,0.418,0.4,0.445,0.393,0.405,0.392,0.333,0.32,0.447,0.367,0.422,0.392,0.391,0.313,0.451,0.294,0.534,0.462,0.323,0.483,0.75,0.394,0.383,0.409,0.45,0.391,0.457,0.448,0.571,0.447,0.25,0.431,0.402,0.487,0.348,0.286,0.367,0.449,0.5,0.43,0.458,0.449,0.143,0.39,0.399,0.45,0.403,0.34,0.413,0.436,0.371,0.368,0.415,0.471,0.417,0.425,0.459,0.4,0.6,0.25,0.466,0.455,0.275,0.427,0.369,0.388,0.38
3P,1.5,0.1,2.0,0.7,1.2,0.8,0.0,0.3,0.7,0.3,0.1,0.9,2.5,1.4,3.9,0.3,1.2,0.3,1.5,0.3,0.3,0.7,2.0,0.0,0.7,0.8,0.8,1.8,1.3,0.3,3.0,0.6,2.4,1.6,0.0,2.6,0.3,1.7,1.0,0.6,0.7,0.6,2.6,1.2,0.0,3.0,0.0,0.7,0.1,2.0,1.0,0.2,0.5,1.3,0.3,0.3,2.1,0.5,0.0,1.4,0.5,0.4,0.8,0.6,2.5,1.2,0.2,1.3,0.3,0.4,0.9,2.2,0.4,0.1,0.2,0.3,2.7,1.4,0.4,1.9,0.5,1.5,0.2
3PA,4.0,0.9,5.2,1.7,4.1,2.3,0.7,0.7,1.7,0.7,0.7,2.5,5.3,4.4,9.7,1.3,3.1,1.3,3.6,0.7,0.7,2.7,4.5,0.3,1.7,2.7,2.3,4.7,3.6,1.4,8.2,2.4,5.2,4.1,0.8,6.1,0.3,4.0,3.2,1.5,1.8,1.8,7.2,3.8,0.0,7.0,0.2,2.3,0.6,4.7,3.8,0.4,1.8,3.5,0.5,1.0,5.3,2.1,0.4,4.0,1.6,1.5,2.4,2.4,6.6,3.7,1.1,4.7,1.2,1.5,3.1,6.6,1.0,0.4,0.4,1.0,6.6,3.7,0.9,5.6,1.8,4.8,0.9
3PP,0.385,0.125,0.383,0.4,0.3,0.364,0.0,0.417,0.417,0.5,0.2,0.364,0.467,0.307,0.401,0.226,0.371,0.25,0.41,0.4,0.364,0.262,0.444,0.0,0.432,0.296,0.333,0.38,0.35,0.238,0.361,0.25,0.456,0.378,0.0,0.421,1.0,0.417,0.31,0.409,0.375,0.342,0.36,0.316,0.0,0.435,0.0,0.309,0.154,0.43,0.265,0.5,0.304,0.383,0.6,0.333,0.397,0.229,0.0,0.355,0.333,0.25,0.346,0.244,0.372,0.333,0.2,0.281,0.241,0.278,0.275,0.331,0.364,0.2,0.5,0.333,0.414,0.371,0.438,0.333,0.258,0.306,0.214
2P,1.7,1.4,3.7,3.0,5.3,1.5,0.2,1.8,1.1,1.0,1.0,3.7,3.6,2.7,4.6,1.7,2.2,1.0,5.0,1.2,0.9,1.7,0.0,1.0,1.4,1.0,3.0,1.8,1.8,1.1,5.4,0.4,4.7,4.6,0.9,6.7,0.5,2.7,1.6,0.6,0.7,2.0,6.3,4.0,2.0,3.7,0.2,2.4,1.3,2.0,3.5,0.2,0.3,2.5,0.4,3.3,3.6,4.0,0.2,2.0,3.1,6.2,1.5,1.3,3.2,4.9,1.5,2.3,4.1,2.9,4.2,5.8,2.5,1.3,0.4,0.3,5.6,7.2,0.2,8.5,1.9,2.9,1.1
2PA,3.5,3.7,8.4,9.0,10.6,3.2,1.3,3.9,2.1,4.3,2.9,7.0,8.5,5.2,7.7,4.1,4.8,2.0,10.9,3.1,2.1,3.6,1.5,2.9,3.0,2.2,6.5,4.4,4.3,3.1,10.4,1.0,8.1,9.1,2.0,13.0,0.8,7.0,3.5,1.5,1.2,4.8,12.2,7.8,3.5,8.1,0.6,5.0,3.0,3.6,9.0,0.9,0.5,5.1,0.9,7.5,7.2,7.8,1.0,4.9,7.5,13.2,3.3,3.1,7.2,10.3,3.6,5.1,9.3,5.6,9.0,12.2,5.3,3.1,0.6,1.7,11.4,15.1,1.3,18.5,4.7,6.5,2.4
2PP,0.469,0.365,0.434,0.333,0.498,0.467,0.125,0.448,0.533,0.231,0.333,0.527,0.424,0.517,0.599,0.426,0.448,0.5,0.457,0.391,0.419,0.488,0.0,0.348,0.455,0.455,0.453,0.406,0.426,0.348,0.522,0.4,0.584,0.5,0.455,0.512,0.667,0.381,0.449,0.409,0.563,0.41,0.514,0.513,0.579,0.458,0.333,0.487,0.449,0.561,0.382,0.2,0.571,0.496,0.444,0.442,0.503,0.508,0.2,0.42,0.413,0.473,0.444,0.415,0.452,0.473,0.425,0.448,0.438,0.522,0.467,0.477,0.477,0.425,0.667,0.2,0.496,0.476,0.167,0.456,0.413,0.447,0.444
EFGP,0.526,0.329,0.488,0.375,0.485,0.5,0.083,0.475,0.574,0.3,0.327,0.532,0.53,0.491,0.6,0.404,0.491,0.45,0.496,0.429,0.452,0.448,0.5,0.32,0.524,0.449,0.466,0.49,0.471,0.351,0.531,0.382,0.623,0.521,0.323,0.55,0.875,0.47,0.456,0.511,0.563,0.438,0.524,0.5,0.571,0.548,0.25,0.48,0.415,0.608,0.387,0.357,0.483,0.528,0.607,0.449,0.542,0.474,0.143,0.471,0.428,0.463,0.476,0.394,0.503,0.48,0.395,0.435,0.429,0.5,0.453,0.484,0.489,0.411,0.7,0.313,0.542,0.492,0.363,0.466,0.405,0.452,0.41
FT,1.7,1.1,3.0,3.0,4.6,0.6,0.0,0.2,0.3,1.0,0.2,3.2,4.6,0.8,5.1,1.3,0.9,1.3,3.6,0.9,0.1,1.0,0.0,1.0,0.2,1.0,2.1,0.5,1.7,0.8,8.9,0.6,3.5,1.7,0.5,3.7,0.8,1.3,1.3,0.9,0.5,1.2,7.3,3.4,0.5,4.2,0.0,0.8,0.4,1.4,3.2,0.4,0.5,0.6,0.1,1.7,4.2,1.3,1.0,0.3,0.7,3.0,0.9,2.1,2.2,2.3,1.9,1.4,1.2,2.3,4.4,7.8,0.9,0.8,0.0,0.7,4.2,5.2,0.7,8.5,0.9,1.7,0.5
FTA,2.0,1.4,3.1,3.3,5.6,0.7,0.0,0.4,0.3,1.3,0.4,3.7,5.1,1.1,5.5,1.5,1.1,1.3,4.5,1.4,0.1,1.1,0.0,1.3,0.3,1.6,2.6,0.7,2.5,0.8,10.5,0.8,3.9,2.6,0.9,4.2,1.5,1.7,1.6,1.0,0.5,1.6,8.3,4.4,0.9,5.0,0.0,1.1,0.6,1.5,4.0,0.7,0.9,0.9,0.1,1.9,4.7,2.3,1.2,0.3,1.2,3.6,1.2,2.6,2.9,2.9,2.7,2.2,1.6,3.4,5.1,8.8,1.0,0.9,0.0,1.0,5.4,6.3,0.9,10.5,1.2,1.9,0.7
FTP,0.83,0.792,0.964,0.9,0.815,0.857,,0.5,1.0,0.75,0.5,0.875,0.897,0.778,0.929,0.912,0.857,1.0,0.792,0.645,0.5,0.846,,0.8,0.667,0.625,0.814,0.75,0.704,1.0,0.844,0.75,0.884,0.652,0.5,0.88,0.5,0.8,0.778,0.933,1.0,0.765,0.889,0.773,0.5,0.844,,0.741,0.692,0.941,0.787,0.5,0.583,0.7,1.0,0.862,0.898,0.566,0.833,0.875,0.591,0.842,0.731,0.778,0.763,0.788,0.712,0.643,0.763,0.683,0.85,0.886,0.9,0.833,,0.667,0.78,0.824,0.813,0.81,0.8,0.88,0.727
ORB,0.1,0.4,0.4,1.0,1.0,0.3,0.0,0.2,0.4,1.0,0.2,0.5,0.4,0.5,0.6,0.2,0.4,0.3,0.9,0.4,0.3,0.7,0.5,0.1,0.3,0.4,0.6,0.4,0.1,0.1,1.4,0.4,0.4,0.3,0.1,0.8,0.5,0.0,0.5,0.3,0.1,0.9,0.6,0.4,0.5,1.0,0.0,0.2,0.4,0.4,0.7,0.0,0.0,0.4,0.0,0.3,0.8,0.7,0.2,0.4,1.1,1.3,0.5,1.1,0.5,0.5,0.2,0.9,0.3,0.3,0.5,0.5,0.2,0.2,0.0,0.0,0.4,0.8,0.1,2.2,0.3,0.2,0.1
DRB,1.2,1.4,3.0,3.0,4.8,0.7,0.3,0.4,1.8,2.0,0.9,1.6,3.1,2.1,3.4,1.5,2.3,1.3,2.9,1.8,0.5,1.7,1.0,0.9,1.5,0.8,2.8,2.1,1.8,1.3,6.1,1.8,3.2,2.8,1.1,2.3,0.5,2.3,2.3,1.3,0.6,2.0,4.3,3.4,1.6,3.8,0.0,1.7,1.8,1.7,3.6,0.5,0.6,2.5,0.4,1.5,4.4,3.0,0.6,2.7,5.6,2.8,3.0,2.7,2.8,2.7,1.0,3.1,2.8,2.2,3.3,2.1,1.5,0.5,0.2,0.7,3.5,3.5,1.1,8.6,2.2,2.2,0.8
TRB,1.3,1.8,3.4,4.0,5.8,1.0,0.3,0.5,2.2,3.0,1.1,2.2,3.5,2.5,4.0,1.7,2.7,1.7,3.8,2.1,0.7,2.3,1.5,1.0,1.7,1.2,3.4,2.5,1.9,1.5,7.5,2.2,3.5,3.1,1.2,3.1,1.0,2.3,2.7,1.6,0.7,2.9,4.9,3.8,2.1,4.9,0.0,1.9,2.2,2.1,4.3,0.5,0.6,2.9,0.4,1.8,5.2,3.7,0.8,3.1,6.6,4.1,3.5,3.8,3.4,3.1,1.2,4.0,3.0,2.4,3.8,2.6,1.8,0.7,0.2,0.7,4.0,4.3,1.2,10.9,2.5,2.4,0.9
AST,2.9,2.6,5.4,4.3,5.0,2.2,0.0,1.4,2.6,2.7,2.5,4.7,5.7,2.6,5.8,3.0,5.7,1.3,6.5,2.9,1.3,1.7,4.5,1.9,1.4,1.7,7.3,1.6,2.1,1.2,11.4,1.8,4.2,6.1,3.1,4.8,0.8,4.3,5.1,2.8,1.7,4.4,5.5,6.2,1.8,7.6,0.2,3.0,4.2,3.6,3.8,0.7,1.0,4.6,0.3,4.4,9.0,5.3,0.4,6.7,7.1,4.8,1.9,6.5,4.8,6.1,3.1,3.9,6.2,1.5,6.8,6.2,3.4,1.8,0.4,1.7,5.0,9.5,1.0,11.3,3.0,6.5,0.7
STL,0.3,0.7,0.7,0.0,1.5,0.6,0.0,0.2,0.4,0.7,0.3,1.3,1.4,1.1,1.8,0.4,0.9,0.0,1.1,1.2,0.3,0.2,1.0,0.0,0.7,0.2,1.0,1.1,0.7,0.8,1.5,0.8,1.1,1.1,0.7,0.6,0.0,0.7,1.0,0.9,0.2,1.2,1.0,1.4,0.4,1.5,0.4,1.0,1.2,0.7,0.9,0.0,0.6,0.7,0.0,0.4,2.5,1.3,0.0,1.0,1.4,0.8,0.8,1.4,1.3,0.8,0.6,1.2,0.9,0.6,2.0,0.9,0.3,1.2,0.4,0.3,1.6,2.2,0.6,1.3,0.8,0.3,0.3
BLK,0.0,0.3,0.1,0.0,0.3,0.2,0.0,0.1,0.1,0.7,0.0,0.1,0.6,0.2,0.3,0.0,0.1,0.0,0.2,0.3,0.0,0.3,0.0,0.1,0.3,0.2,0.2,0.0,0.0,0.1,0.3,0.0,0.2,0.4,0.1,0.2,0.0,0.3,0.0,0.0,0.0,0.1,0.3,0.6,0.1,0.3,0.0,0.0,0.1,0.0,0.3,0.0,0.0,0.1,0.0,0.1,0.2,0.7,0.0,0.2,0.3,0.4,0.1,0.1,0.3,0.2,0.1,0.4,0.4,0.0,0.6,0.1,0.0,0.1,0.0,0.3,0.3,0.6,0.0,0.4,0.6,0.2,0.0
TOV,1.3,1.5,2.0,3.0,3.1,1.4,0.2,0.5,1.6,2.0,0.6,2.2,2.3,1.4,3.0,1.5,2.1,0.3,2.9,1.4,0.9,1.0,1.5,0.9,0.8,1.4,2.6,0.7,1.8,0.4,5.6,0.8,1.4,2.7,1.3,2.5,0.0,3.0,1.9,0.8,1.2,1.6,2.7,2.4,0.7,2.9,0.0,1.7,1.3,1.3,3.0,0.7,0.4,2.1,0.5,1.7,2.3,1.9,0.0,2.7,2.7,2.6,0.6,1.9,3.1,3.0,0.9,1.8,1.4,1.7,2.6,2.2,0.9,0.8,0.2,0.3,2.1,4.5,0.2,5.6,2.2,2.4,0.1
PF,1.4,1.6,0.9,1.3,3.0,1.6,0.3,0.6,1.1,2.0,1.1,1.7,1.6,1.9,2.6,1.5,2.1,0.7,2.9,2.3,1.3,2.4,0.5,0.8,1.5,1.1,2.7,1.4,1.5,1.4,2.6,1.4,2.4,2.8,0.9,2.1,0.0,2.0,1.5,0.9,1.5,1.7,2.6,0.4,1.5,2.8,0.0,2.0,1.7,1.4,2.0,0.6,0.6,3.2,0.4,2.0,2.4,2.1,0.0,1.4,2.4,1.7,1.0,2.8,2.3,1.3,1.0,2.4,1.8,1.4,2.5,2.3,0.9,1.0,0.2,2.0,1.5,2.4,0.7,2.4,2.5,2.4,0.3
PPG,9.6,4.2,16.3,11.0,18.8,6.1,0.3,4.6,4.7,4.0,2.5,13.4,19.2,10.3,25.9,5.7,8.7,4.3,18.0,4.2,2.6,6.5,6.0,3.0,5.1,5.4,10.3,9.4,9.2,3.9,28.5,3.2,20.0,15.4,2.3,24.6,2.5,11.7,7.5,3.9,4.0,7.0,27.6,15.0,4.5,20.8,0.4,7.8,3.3,11.4,13.1,1.3,2.8,9.7,1.8,9.3,17.7,10.7,1.4,8.7,8.5,16.7,6.2,6.4,16.1,15.7,5.7,9.9,10.3,9.4,15.3,26.0,7.0,3.6,1.4,2.3,23.6,23.6,2.3,31.0,6.2,11.9,3.3
