Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Playoff_berth
1,Golden State Warriors,23,242.2,43.8,87.4,.501,12.0,31.7,.380,31.8,55.7,.571,19.7,24.9,.789,9.5,35.2,44.7,31.8,9.7,6.6,14.8,20.3,119.3,1
2,Portland Trail Blazers,24,243.1,39.7,87.9,.452,11.0,30.2,.363,28.8,57.8,.498,18.8,23.7,.792,9.6,33.3,43.0,22.2,6.9,4.8,13.3,22.7,109.1,1
3,Los Angeles Lakers,24,240.0,38.9,87.1,.447,8.5,24.7,.343,30.5,62.4,.488,18.2,23.4,.778,11.8,32.5,44.3,20.8,8.6,3.5,16.4,20.8,104.5,0
4,Los Angeles Clippers,23,242.2,38.6,83.7,.461,9.9,26.6,.372,28.7,57.2,.502,21.3,28.2,.755,9.7,34.4,44.2,22.0,8.8,4.8,12.9,20.8,108.3,1
5,Houston Rockets,22,242.3,40.5,86.3,.469,14.0,37.0,.377,26.5,49.3,.538,17.2,22.6,.763,11.5,32.8,44.3,24.6,8.0,5.0,16.3,20.1,112.2,1
6,Toronto Raptors,22,241.1,40.5,84.8,.478,9.6,24.4,.393,31.0,60.4,.512,20.8,25.5,.813,10.8,31.4,42.2,20.5,8.9,4.6,12.0,21.5,111.5,1
7,Denver Nuggets,23,243.3,38.3,88.5,.432,9.2,26.1,.351,29.1,62.3,.467,19.8,26.7,.741,13.3,36.3,49.6,21.4,6.7,4.3,16.8,21.0,105.5,0
8,Utah Jazz,24,240.0,36.4,78.5,.463,9.5,26.7,.358,26.8,51.8,.518,18.0,23.3,.776,8.1,34.1,42.2,19.1,6.3,5.2,12.5,19.6,100.3,1
9,Detroit Pistons,24,240.0,39.3,87.1,.451,7.1,20.8,.342,32.2,66.3,.486,13.4,17.8,.750,9.6,35.4,45.0,21.0,6.9,4.2,11.7,17.3,99.2,1
10,Oklahoma City Thunder,22,244.5,40.6,88.4,.460,8.9,26.0,.340,31.8,62.4,.509,17.3,24.1,.716,10.6,35.5,46.1,22.6,7.8,5.2,15.8,20.9,107.4,1
11,San Antonio Spurs,23,240.0,37.4,81.4,.459,8.8,22.5,.393,28.6,58.9,.485,18.7,22.9,.816,9.0,32.7,41.7,22.7,8.0,5.7,12.9,18.0,102.3,1
12,Memphis Grizzlies,24,246.3,35.2,84.0,.419,8.3,25.0,.333,26.9,58.9,.456,18.8,24.3,.775,10.3,33.4,43.8,19.8,8.5,5.4,13.9,24.0,97.5,1
13,New Orleans Pelicans,23,245.4,38.0,86.7,.439,7.8,24.8,.314,30.3,61.9,.489,17.8,23.0,.772,8.1,36.2,44.3,22.5,7.9,6.3,13.1,19.0,101.7,0
14,Phoenix Suns,22,243.4,39.0,88.5,.441,7.6,23.3,.327,31.4,65.2,.482,20.0,26.1,.765,11.4,33.8,45.1,18.3,8.9,4.1,16.3,25.7,105.7,0
15,Boston Celtics,22,240.0,39.0,86.3,.451,10.9,30.6,.356,28.0,55.7,.504,16.5,20.8,.793,9.5,32.7,42.3,24.7,7.2,4.6,12.2,21.1,105.3,1
16,Atlanta Hawks,23,240.0,38.2,84.4,.452,8.2,25.6,.321,30.0,58.9,.509,15.7,22.3,.704,10.3,33.6,43.9,23.5,9.3,5.3,16.9,17.7,100.3,0
17,Charlotte Hornets,22,243.4,37.5,85.6,.438,9.6,27.9,.346,27.8,57.7,.482,20.0,26.7,.747,8.5,37.4,45.9,23.6,6.5,5.2,11.6,16.7,104.5,1
18,Indiana Pacers,22,244.5,39.5,86.9,.455,7.5,21.8,.344,32.0,65.1,.492,17.9,22.4,.797,9.2,33.3,42.5,22.3,9.3,5.7,15.1,20.1,104.5,0
19,Minnesota Timberwolves,22,241.1,38.2,84.5,.452,8.3,23.8,.350,29.9,60.8,.491,19.7,25.2,.780,12.0,30.3,42.3,21.9,7.9,4.8,14.7,21.7,104.4,0
20,New York Knicks,22,241.1,40.0,89.4,.447,9.2,25.8,.356,30.8,63.5,.484,15.2,19.5,.779,12.2,33.4,45.6,22.2,7.3,5.6,14.0,21.5,104.3,1
21,Chicago Bulls,22,240.0,38.2,86.8,.440,6.3,20.3,.312,31.9,66.5,.479,20.2,25.1,.805,13.5,35.1,48.6,20.8,7.8,5.6,13.8,17.7,102.9,1
22,Philadelphia 76ers,23,244.3,36.4,84.9,.429,11.0,30.5,.360,25.4,54.3,.468,13.7,19.1,.720,9.0,34.4,43.4,22.6,7.8,6.0,17.0,22.1,97.6,0
23,Brooklyn Nets,21,242.4,37.9,86.7,.437,11.3,34.4,.330,26.5,52.3,.507,19.1,24.7,.776,9.5,34.4,43.9,20.8,8.0,4.5,16.9,20.2,106.2,0
24,Cleveland Cavaliers,20,240.0,39.0,85.3,.457,13.8,34.5,.401,25.2,50.9,.495,19.4,25.1,.773,10.1,34.4,44.4,22.6,6.8,4.5,13.8,18.2,111.1,1
25,Washington Wizards,21,243.6,39.7,87.4,.454,7.9,22.0,.359,31.8,65.4,.485,16.5,21.3,.772,10.9,31.7,42.5,21.4,9.1,4.0,14.8,22.2,103.7,0
26,Orlando Magic,23,240.0,35.5,83.8,.423,8.2,24.7,.333,27.3,59.2,.461,15.1,21.3,.712,10.0,34.2,44.3,20.7,6.5,5.9,13.6,18.0,94.3,0
27,Sacramento Kings,21,243.6,37.6,84.0,.448,8.2,23.6,.347,29.4,60.4,.487,19.8,25.3,.782,9.8,32.6,42.3,22.0,8.0,4.1,14.4,20.9,103.2,0
28,Miami Heat,22,241.1,37.0,85.8,.431,8.5,25.0,.341,28.5,60.8,.468,14.7,22.0,.671,11.5,32.9,44.3,20.0,7.3,5.8,12.9,20.3,97.3,0
29,Milwaukee Bucks,20,241.3,38.7,84.4,.458,8.4,24.7,.338,30.3,59.7,.508,18.2,23.5,.776,9.9,34.8,44.6,23.7,8.7,5.8,14.6,20.8,103.9,1
30,Dallas Mavericks,21,242.4,34.2,83.0,.412,9.6,29.7,.324,24.6,53.3,.461,14.1,17.9,.792,9.2,31.0,40.3,18.8,7.6,3.7,13.1,19.6,92.1,0
