Rk,Player,PlayerID,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
111,Kris Dunn,dunnkr01,PG,22,MIN,22,5,17.7,1.5,3.8,.393,0.3,0.7,.400,1.2,3.1,.391,.429,0.9,1.4,.645,0.4,1.8,2.1,2.9,1.2,0.3,1.4,2.3,4.2
112,Kevin Durant,duranke01,SF,28,GSW,23,23,34.4,9.2,16.8,.549,1.9,4.7,.407,7.3,12.1,.604,.606,5.9,6.8,.860,0.7,7.8,8.5,4.8,1.4,1.7,2.1,2.2,26.2
113,Henry Ellenson,ellenhe01,PF,20,DET,5,0,2.8,0.2,0.6,.333,0.0,0.0,,0.2,0.6,.333,.333,0.0,0.0,,0.2,1.0,1.2,0.2,0.0,0.0,0.0,0.0,0.4
114,Wayne Ellington,ellinwa01,SG,29,MIA,6,3,34.0,5.8,12.3,.473,3.0,7.8,.383,2.8,4.5,.630,.595,0.8,1.2,.714,0.0,1.8,1.8,2.0,1.0,0.0,0.3,0.8,15.5
115,Monta Ellis,ellismo01,SG,31,IND,22,21,32.4,3.9,8.9,.441,0.7,2.1,.319,3.2,6.7,.480,.479,1.6,2.0,.837,0.1,3.4,3.5,3.7,1.2,0.5,2.5,2.4,10.1
116,Joel Embiid,embiijo01,C,22,PHI,15,15,23.5,6.1,13.4,.458,1.3,2.9,.442,4.9,10.5,.462,.505,4.7,6.0,.778,2.1,5.5,7.6,1.7,0.6,2.5,3.7,3.3,18.2
117,James Ennis,ennisja01,SF,26,MEM,14,13,29.2,3.0,6.8,.442,1.0,2.9,.341,2.0,3.9,.519,.516,2.1,2.6,.806,1.6,3.6,5.3,1.4,0.9,0.1,1.1,3.1,9.1
118,Tyler Ennis,ennisty01,PG,22,HOU,15,0,8.3,1.1,2.8,.405,0.3,0.7,.364,0.9,2.1,.419,.452,0.1,0.1,.500,0.3,0.5,0.7,1.3,0.3,0.0,0.9,1.3,2.6
119,Dante Exum,exumda01,PG,21,UTA,23,11,21.0,2.4,6.2,.392,0.7,2.7,.262,1.7,3.6,.488,.448,1.0,1.1,.846,0.7,1.7,2.3,1.7,0.2,0.3,1.0,2.4,6.5
120,Kenneth Faried,farieke01,PF,27,DEN,22,14,23.0,3.2,6.7,.483,0.0,0.1,.000,3.2,6.5,.493,.483,2.5,3.4,.730,3.5,5.0,8.5,0.9,1.0,1.0,1.2,2.1,8.9
121,Jordan Farmar,farmajo01,PG,30,SAC,2,0,17.5,2.0,6.0,.333,2.0,4.5,.444,0.0,1.5,.000,.500,0.0,0.0,,0.5,1.0,1.5,4.5,1.0,0.0,1.5,0.5,6.0
122,Derrick Favors,favorde01,PF,25,UTA,11,9,24.0,4.2,8.9,.469,0.1,0.2,.500,4.1,8.7,.469,.474,2.0,3.3,.611,1.4,5.2,6.5,0.6,1.0,1.0,1.3,2.3,10.5
123,Kay Felder,feldeka01,PG,21,CLE,8,0,9.1,1.0,3.1,.320,0.0,0.3,.000,1.0,2.9,.348,.320,1.0,1.3,.800,0.1,0.9,1.0,1.9,0.0,0.1,0.9,0.8,3.0
124,Cristiano Felicio,feliccr01,C,24,CHI,14,0,10.8,1.1,2.8,.410,0.0,0.0,,1.1,2.8,.410,.410,0.5,0.8,.636,1.9,1.9,3.7,0.4,0.1,0.2,0.4,1.1,2.8
125,Raymond Felton,feltora01,PG,32,LAC,22,1,17.0,2.1,4.7,.447,0.7,1.7,.432,1.4,3.0,.455,.524,0.2,0.3,.667,0.3,1.5,1.7,1.4,0.7,0.3,0.8,1.5,5.1
126,Yogi Ferrell,ferreyo01,PG,23,BRK,10,0,15.1,1.8,4.9,.367,0.8,2.7,.296,1.0,2.2,.455,.449,1.0,1.6,.625,0.4,0.8,1.2,1.7,0.2,0.2,1.4,1.1,5.4
127,Dorian Finney-Smith,finnedo01,PF,23,DAL,20,13,19.5,1.4,4.0,.350,0.7,2.5,.286,0.7,1.6,.452,.438,0.7,1.0,.737,0.6,1.4,2.0,0.9,0.5,0.3,0.5,1.6,4.2
128,Bryn Forbes,forbebr01,SG,23,SAS,10,0,5.3,0.4,1.3,.308,0.1,0.6,.167,0.3,0.7,.429,.346,0.1,0.1,1.000,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.6,1.0
129,Evan Fournier,fournev01,SG,24,ORL,23,23,33.4,5.7,13.3,.426,1.9,5.1,.368,3.8,8.2,.463,.497,3.6,4.2,.845,0.5,2.5,3.0,3.3,1.1,0.0,2.4,2.7,16.7
130,Randy Foye,foyera01,SG,33,BRK,15,1,17.3,1.8,5.2,.346,1.1,3.3,.327,0.7,1.9,.379,.449,0.6,0.7,.818,0.1,2.5,2.5,2.1,0.3,0.2,1.5,1.3,5.3
131,Tim Frazier,fraziti01,PG,26,NOP,23,22,30.6,3.7,8.9,.422,0.8,2.3,.333,3.0,6.5,.453,.466,2.1,2.6,.814,0.6,2.8,3.4,7.3,1.0,0.2,2.6,2.7,10.3
132,Channing Frye,fryech01,C,33,CLE,15,0,17.7,3.5,7.8,.453,2.5,5.1,.481,1.1,2.7,.400,.611,0.9,0.9,.929,0.5,2.6,3.1,0.7,0.4,0.7,0.7,1.9,10.4
133,Danilo Gallinari,gallida01,SF,28,DEN,20,20,35.3,4.6,11.7,.393,1.7,4.8,.354,2.9,6.9,.420,.466,5.3,6.1,.861,0.6,3.9,4.5,2.1,0.7,0.4,1.6,1.4,16.2
134,Langston Galloway,gallola01,PG,25,NOP,23,0,21.3,3.6,9.1,.392,1.8,4.7,.380,1.8,4.4,.406,.490,0.5,0.7,.750,0.4,2.1,2.5,1.6,1.1,0.0,0.7,1.4,9.4
135,Marc Gasol,gasolma01,C,32,MEM,23,23,33.8,7.4,16.2,.458,1.6,3.7,.440,5.8,12.6,.464,.508,3.4,4.3,.798,0.9,5.2,6.1,4.1,0.9,1.6,2.1,2.1,19.9
136,Pau Gasol,gasolpa01,C,36,SAS,22,22,26.3,4.8,9.8,.493,0.6,1.3,.448,4.2,8.5,.500,.523,1.2,2.1,.587,1.4,6.1,7.5,2.5,0.4,1.1,1.2,1.5,11.5
137,Rudy Gay,gayru01,SF,30,SAC,20,20,34.5,7.0,15.0,.467,1.3,3.6,.366,5.7,11.5,.498,.510,4.1,4.8,.844,1.0,5.4,6.4,3.2,1.6,0.7,2.5,2.6,19.4
138,Michael Gbinije,gbinimi01,SG,24,DET,6,0,3.5,0.2,1.3,.125,0.0,0.7,.000,0.2,0.7,.250,.125,0.3,0.3,1.000,0.2,0.2,0.3,0.2,0.0,0.0,0.0,0.3,0.7
139,Alonzo Gee,geeal01,SF,29,DEN,11,0,7.4,0.3,1.1,.250,0.0,0.3,.000,0.3,0.8,.333,.250,0.5,0.8,.556,0.3,0.8,1.1,0.5,0.5,0.1,0.2,1.1,1.0
140,Paul George,georgpa01,SF,26,IND,15,15,34.9,7.2,16.5,.437,2.2,6.1,.363,5.0,10.4,.481,.504,4.1,4.5,.925,1.1,6.3,7.4,3.4,1.9,0.4,3.0,2.7,20.7
141,Jonathan Gibson,gibsojo01,PG,29,DAL,11,0,18.5,3.1,7.9,.391,1.3,3.6,.350,1.8,4.3,.426,.471,1.7,2.5,.704,0.1,1.8,1.9,2.1,0.7,0.0,1.8,1.5,9.2
142,Taj Gibson,gibsota01,PF,31,CHI,22,22,28.9,5.3,9.7,.547,0.0,0.0,.000,5.3,9.7,.549,.547,1.4,2.1,.660,2.2,5.7,7.9,1.5,0.6,1.1,1.7,2.4,12.0
143,Manu Ginobili,ginobma01,SG,39,SAS,19,0,19.6,2.4,6.7,.359,1.2,3.3,.355,1.3,3.5,.364,.445,1.5,1.7,.875,0.4,2.2,2.6,2.5,1.3,0.3,1.5,1.6,7.5
144,Rudy Gobert,goberru01,C,24,UTA,24,24,32.2,4.0,6.0,.664,0.0,0.0,,4.0,6.0,.664,.664,3.7,5.6,.664,3.3,8.3,11.5,1.0,0.5,2.6,1.6,3.1,11.6
145,Archie Goodwin,goodwar01,SG,22,NOP,3,0,10.0,0.7,1.7,.400,0.3,0.7,.500,0.3,1.0,.333,.500,3.3,3.3,1.000,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.3,5.0
146,Aaron Gordon,gordoaa01,SF,21,ORL,23,15,25.9,3.9,9.6,.405,0.8,2.8,.292,3.0,6.7,.452,.448,1.0,1.9,.545,1.0,3.4,4.4,1.7,0.8,0.7,1.0,1.9,9.6
147,Eric Gordon,gordoer01,SG,28,HOU,22,8,31.0,5.9,13.5,.439,3.4,8.2,.417,2.5,5.3,.474,.566,1.8,2.2,.796,0.4,2.5,2.9,2.5,0.7,0.5,1.9,2.0,17.0
148,Marcin Gortat,gortama01,C,32,WAS,21,21,35.4,4.8,8.5,.559,0.0,0.0,.000,4.8,8.5,.562,.559,1.6,2.6,.611,3.1,8.7,11.8,1.5,0.5,1.2,1.5,3.5,11.1
149,Treveon Graham,grahatr01,SG,23,CHO,5,1,9.6,0.8,1.2,.667,0.6,0.8,.750,0.2,0.4,.500,.917,0.0,0.0,,0.0,1.2,1.2,0.4,0.0,0.0,0.2,2.2,2.2
150,Jerami Grant,grantje01,SF,22,TOT,21,0,19.9,2.3,5.0,.471,0.5,1.5,.355,1.8,3.5,.521,.524,1.1,2.3,.490,0.3,2.5,2.8,0.4,0.6,1.0,0.7,2.0,6.3
150,Jerami Grant,grantje01,SF,22,PHI,2,0,20.5,3.0,8.5,.353,0.0,1.0,.000,3.0,7.5,.400,.353,2.0,4.0,.500,0.0,3.5,3.5,0.0,0.0,2.0,1.5,2.5,8.0
150,Jerami Grant,grantje01,SF,22,OKC,19,0,19.8,2.3,4.6,.494,0.6,1.5,.379,1.7,3.1,.552,.557,1.1,2.2,.488,0.3,2.4,2.7,0.5,0.6,0.9,0.6,2.0,6.2
151,Jerian Grant,grantje02,PG,24,CHI,15,3,13.2,1.4,4.5,.313,0.3,1.4,.238,1.1,3.1,.348,.351,0.8,0.8,1.000,0.1,1.3,1.5,1.2,0.8,0.1,0.4,1.4,3.9
152,Danny Green,greenda02,SG,29,SAS,15,15,25.5,2.5,5.7,.442,1.8,4.4,.409,0.7,1.3,.550,.599,0.5,0.7,.800,0.2,2.7,2.9,2.1,0.7,0.7,0.9,1.7,7.4
153,Draymond Green,greendr01,PF,26,GSW,22,22,33.1,3.9,8.9,.434,1.1,3.3,.329,2.8,5.6,.496,.495,2.0,3.0,.677,1.8,6.7,8.5,7.3,2.3,1.4,1.9,2.9,10.8
154,Gerald Green,greenge01,SG,31,BOS,12,0,10.0,1.3,4.3,.294,0.6,2.2,.269,0.7,2.1,.320,.363,0.5,0.7,.750,0.3,1.4,1.8,1.3,0.3,0.1,0.6,1.0,3.6
155,JaMychal Green,greenja01,PF,26,MEM,24,24,30.3,3.4,7.3,.466,0.5,1.8,.302,2.9,5.5,.519,.503,2.0,2.5,.800,2.1,5.6,7.7,1.2,0.8,0.7,1.4,3.8,9.4
156,Jeff Green,greenje02,SF,30,ORL,22,8,23.3,3.0,8.1,.376,0.9,3.1,.290,2.1,5.0,.431,.433,1.9,2.2,.837,0.6,2.7,3.3,1.5,0.4,0.3,1.1,1.4,8.9
157,Blake Griffin,griffbl01,PF,27,LAC,22,22,33.0,7.5,16.1,.469,0.2,1.0,.227,7.3,15.1,.485,.476,5.4,7.2,.748,2.0,6.9,9.0,4.6,1.1,0.6,2.1,2.6,20.7
158,Justin Hamilton,hamilju01,C,26,BRK,21,2,21.4,2.5,5.9,.427,1.2,3.5,.342,1.3,2.4,.549,.528,0.5,0.8,.688,1.0,3.0,4.1,0.9,0.7,0.5,0.8,1.6,6.8
159,A.J. Hammons,hammoaj01,C,24,DAL,9,0,4.1,0.4,1.2,.364,0.1,0.1,1.000,0.3,1.1,.300,.409,0.2,0.7,.333,0.4,1.1,1.6,0.2,0.0,0.4,0.0,0.2,1.2
160,Tim Hardaway,hardati02,SG,24,ATL,23,1,21.2,4.2,9.1,.462,1.4,4.5,.308,2.8,4.6,.613,.538,1.3,2.0,.630,0.2,1.5,1.7,1.5,0.4,0.2,0.8,1.0,11.1
161,James Harden,hardeja01,PG,27,HOU,22,22,36.7,8.4,18.5,.451,3.0,8.2,.361,5.4,10.4,.522,.531,8.9,10.5,.844,1.4,6.1,7.5,11.4,1.5,0.3,5.6,2.6,28.5
162,Maurice Harkless,harklma01,SF,23,POR,23,23,31.1,5.2,10.5,.496,1.4,3.9,.371,3.8,6.7,.569,.564,1.1,1.4,.781,2.0,3.4,5.4,1.0,1.0,0.7,1.3,2.8,13.0
163,Montrezl Harrell,harremo01,PF,23,HOU,13,0,13.3,3.0,5.0,.600,0.0,0.0,,3.0,5.0,.600,.600,0.4,0.7,.556,1.5,1.9,3.5,0.6,0.2,0.6,1.1,1.5,6.4
164,Devin Harris,harride01,PG,33,DAL,5,0,15.0,1.0,3.4,.294,0.6,2.4,.250,0.4,1.0,.400,.382,0.6,0.8,.750,0.4,1.8,2.2,1.8,0.8,0.0,0.8,1.4,3.2
165,Gary Harris,harriga01,SG,22,DEN,5,4,22.8,4.2,9.2,.457,0.8,2.6,.308,3.4,6.6,.515,.500,1.6,2.4,.667,0.6,2.6,3.2,2.4,0.4,0.2,1.2,2.0,10.8
166,Joe Harris,harrijo01,SG,25,BRK,21,0,24.9,3.6,8.0,.455,1.8,4.8,.366,1.9,3.1,.591,.566,0.9,1.2,.692,0.3,2.5,2.8,1.3,0.8,0.1,1.4,2.6,9.9
167,Tobias Harris,harrito02,PF,24,DET,24,24,33.6,6.7,13.7,.486,1.2,3.5,.341,5.5,10.2,.537,.530,2.4,2.6,.905,0.5,4.5,5.0,1.8,0.7,0.7,1.5,1.8,16.9
168,Aaron Harrison,harriaa01,SG,22,CHO,4,0,3.8,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.3,0.5,.500,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.3
169,Andrew Harrison,harrian01,SG,22,MEM,23,9,27.3,2.0,6.8,.288,0.7,3.0,.246,1.2,3.8,.322,.343,2.2,3.0,.739,0.4,2.0,2.5,3.7,1.3,0.5,1.7,3.4,6.9
170,Udonis Haslem,hasleud01,PF,36,MIA,7,0,5.9,0.3,1.1,.250,0.0,0.1,.000,0.3,1.0,.286,.250,0.3,0.6,.500,0.3,1.1,1.4,0.1,0.1,0.0,0.0,1.0,0.9
171,Spencer Hawes,hawessp01,PF,28,CHO,20,0,17.2,3.0,6.2,.476,0.4,1.4,.286,2.6,4.8,.531,.508,0.7,0.8,.813,1.1,3.2,4.2,1.8,0.5,0.8,1.2,1.3,7.0
172,Gordon Hayward,haywago01,SF,26,UTA,17,17,35.8,7.4,16.7,.444,1.7,4.9,.349,5.7,11.8,.483,.495,6.6,7.5,.882,0.6,5.8,6.4,3.9,1.1,0.2,1.9,1.6,23.1
173,Gerald Henderson,hendege02,SG,29,PHI,22,22,24.5,3.7,8.2,.456,0.8,2.1,.383,2.9,6.0,.481,.506,1.3,1.6,.778,0.5,2.3,2.8,1.4,0.8,0.2,0.9,2.2,9.5
174,John Henson,hensojo01,C,26,MIL,18,11,19.8,2.7,5.2,.511,0.0,0.0,,2.7,5.2,.511,.511,1.8,2.6,.702,1.6,4.3,5.8,1.1,0.4,1.6,1.1,2.7,7.2
175,Juan Hernangomez,hernaju01,PF,21,DEN,18,1,11.2,0.9,2.2,.410,0.4,1.1,.368,0.5,1.1,.450,.500,0.8,1.4,.600,0.4,2.2,2.6,0.4,0.4,0.3,0.4,0.9,3.0
176,Willy Hernangomez,hernawi01,C,22,NYK,19,0,13.1,2.3,3.9,.595,0.1,0.1,1.000,2.3,3.8,.589,.601,0.8,1.1,.750,1.4,2.9,4.3,0.8,0.4,0.4,1.5,1.6,5.5
177,Mario Hezonja,hezonma01,SF,21,ORL,14,0,11.6,1.6,5.1,.306,0.4,2.1,.172,1.2,3.1,.395,.340,0.4,0.6,.667,0.2,1.3,1.5,0.6,0.3,0.1,0.9,0.7,3.9
178,Roy Hibbert,hibbero01,C,30,CHO,17,5,16.1,2.2,4.4,.507,0.0,0.0,,2.2,4.4,.507,.507,1.5,2.0,.735,1.5,2.4,3.9,0.6,0.2,0.9,0.8,2.1,5.9
179,Buddy Hield,hieldbu01,SG,23,NOP,23,3,17.1,2.8,7.9,.359,1.1,4.1,.277,1.7,3.8,.448,.431,0.5,0.5,.917,0.3,2.0,2.3,1.0,0.3,0.1,0.7,1.2,7.3
180,Nene Hilario,hilarne01,C,34,HOU,18,0,17.3,2.8,5.0,.567,0.1,0.2,.500,2.7,4.8,.570,.578,1.5,2.5,.600,1.3,2.4,3.7,0.9,0.4,0.6,1.3,2.5,7.3
181,George Hill,hillge01,PG,30,UTA,11,11,32.7,7.1,13.3,.534,2.4,5.2,.456,4.7,8.1,.584,.623,3.5,3.9,.884,0.4,3.2,3.5,4.2,1.1,0.2,1.4,2.4,20.0
182,Jordan Hill,hilljo01,C,29,MIN,2,0,5.5,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,1.0,1.0,1.000,1.5,1.5,3.0,0.0,0.0,0.0,1.0,1.5,3.0
183,Solomon Hill,hillso01,SF,25,NOP,23,15,27.7,1.6,4.7,.343,0.7,2.3,.296,0.9,2.3,.389,.417,1.4,1.8,.805,0.4,3.4,3.9,2.0,1.0,0.5,1.1,2.4,5.3
184,Darrun Hilliard,hillida01,SG,23,DET,14,0,11.0,1.4,3.6,.392,0.4,1.3,.333,1.0,2.4,.424,.451,0.8,1.1,.733,0.1,0.8,0.9,0.9,0.4,0.1,0.8,1.5,4.1
185,Jrue Holiday,holidjr01,PG,26,NOP,9,3,28.4,6.1,13.2,.462,1.6,4.1,.378,4.6,9.1,.500,.521,1.7,2.6,.652,0.3,2.8,3.1,6.1,1.1,0.4,2.7,2.8,15.4
186,Justin Holiday,holidju01,SG,27,NYK,22,2,18.8,2.2,5.6,.398,1.0,2.5,.375,1.3,3.0,.418,.484,0.7,0.8,.882,0.5,2.7,3.2,1.0,0.8,0.4,0.7,1.5,6.1
187,Rondae Hollis-Jefferson,holliro01,SF,22,BRK,18,14,23.6,1.9,6.0,.324,0.3,1.3,.250,1.6,4.7,.345,.352,2.2,2.8,.765,0.5,4.1,4.6,2.7,0.9,0.6,1.4,2.6,6.4
188,Richaun Holmes,holmeri01,PF,23,PHI,19,2,16.7,2.9,5.6,.519,0.4,1.1,.350,2.5,4.5,.558,.552,0.9,1.5,.621,1.6,3.1,4.7,0.9,0.6,1.0,0.9,2.3,7.1
189,Rodney Hood,hoodro01,SG,24,UTA,21,21,30.3,5.7,13.3,.427,2.1,5.8,.369,3.5,7.5,.471,.507,2.2,2.8,.793,0.3,4.0,4.2,2.1,0.8,0.2,1.2,2.4,15.7
190,Al Horford,horfoal01,C,30,BOS,12,12,32.4,6.1,12.3,.493,1.3,3.7,.364,4.8,8.7,.548,.547,1.5,1.7,.900,1.2,5.3,6.4,5.3,0.6,2.6,1.4,2.4,15.0
191,Danuel House,houseda01,SG,23,WAS,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
192,Dwight Howard,howardw01,C,31,ATL,22,22,28.7,5.5,9.0,.606,0.0,0.0,,5.5,9.0,.606,.606,2.8,5.6,.500,4.5,8.2,12.7,1.2,1.0,1.5,2.5,3.4,13.7
193,Marcelo Huertas,huertma01,PG,33,LAL,11,1,11.7,0.9,2.8,.323,0.0,0.8,.000,0.9,2.0,.455,.323,0.5,0.9,.500,0.1,1.1,1.2,3.1,0.7,0.1,1.3,0.9,2.3
194,Kris Humphries,humphkr01,PF,31,ATL,19,0,10.8,1.4,3.5,.388,0.3,0.9,.333,1.1,2.6,.408,.433,0.9,1.1,.857,1.0,1.9,2.9,0.5,0.2,0.5,0.7,1.0,4.0
195,R.J. Hunter,hunterj01,SG,23,CHI,3,0,3.0,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
196,Serge Ibaka,ibakase01,PF,27,ORL,23,23,30.2,5.7,12.0,.476,1.3,3.2,.392,4.4,8.7,.507,.529,1.6,1.9,.841,1.7,4.9,6.7,0.9,0.6,1.9,1.3,2.4,14.3
197,Andre Iguodala,iguodan01,SF,33,GSW,23,0,24.6,2.3,5.1,.462,0.7,2.3,.296,1.7,2.7,.603,.530,0.4,0.7,.529,0.5,2.9,3.3,3.5,0.9,0.3,0.6,1.3,5.8
198,Ersan Ilyasova,ilyaser01,PF,29,TOT,23,13,26.3,4.7,10.4,.450,1.8,5.0,.365,2.9,5.4,.528,.538,1.7,2.2,.800,1.0,5.1,6.2,1.6,0.5,0.2,1.2,2.3,13.0
198,Ersan Ilyasova,ilyaser01,PF,29,OKC,3,0,20.7,2.0,5.3,.375,1.0,4.0,.250,1.0,1.3,.750,.469,0.0,0.0,,0.7,4.7,5.3,0.3,1.0,0.3,1.3,1.7,5.0
198,Ersan Ilyasova,ilyaser01,PF,29,PHI,20,13,27.2,5.1,11.2,.455,2.0,5.2,.379,3.2,6.1,.521,.542,2.0,2.5,.800,1.1,5.2,6.3,1.8,0.4,0.2,1.2,2.4,14.2
199,Joe Ingles,inglejo01,SF,29,UTA,24,1,17.3,2.1,4.2,.495,1.1,2.4,.466,1.0,1.8,.535,.629,0.7,1.0,.739,0.1,2.0,2.0,1.7,0.8,0.1,0.7,1.7,6.0
200,Brandon Ingram,ingrabr01,SF,19,LAL,24,6,26.8,2.8,7.8,.366,0.7,2.3,.296,2.2,5.5,.394,.409,1.8,2.4,.754,0.5,3.3,3.8,1.8,0.6,0.6,1.6,1.7,8.1
201,Kyrie Irving,irvinky01,PG,24,CLE,20,20,34.0,9.2,19.1,.483,2.6,6.1,.421,6.7,13.0,.512,.550,3.7,4.2,.880,0.8,2.3,3.1,4.8,0.6,0.2,2.5,2.1,24.6
202,Demetrius Jackson,jacksde01,PG,22,BOS,4,0,4.3,0.8,1.0,.750,0.3,0.3,1.000,0.5,0.8,.667,.875,0.8,1.5,.500,0.5,0.5,1.0,0.8,0.0,0.0,0.0,0.0,2.5
203,Reggie Jackson,jacksre01,PG,26,DET,3,3,22.3,4.3,11.0,.394,1.7,4.0,.417,2.7,7.0,.381,.470,1.3,1.7,.800,0.0,2.3,2.3,4.3,0.7,0.3,3.0,2.0,11.7
204,LeBron James,jamesle01,SF,32,CLE,19,19,36.4,8.7,17.3,.502,1.5,4.4,.349,7.2,12.9,.553,.546,5.1,7.1,.716,1.2,6.5,7.6,9.1,1.1,0.5,4.0,1.7,23.9
205,Al Jefferson,jeffeal01,C,32,IND,22,1,15.4,3.4,7.0,.481,0.0,0.0,.000,3.4,7.0,.484,.481,0.7,1.1,.667,1.2,3.1,4.3,1.0,0.2,0.3,0.5,2.0,7.5
206,Richard Jefferson,jefferi01,SF,36,CLE,20,2,18.5,1.7,3.9,.442,0.8,2.2,.372,0.9,1.7,.529,.545,0.5,0.7,.714,0.3,2.2,2.5,0.8,0.4,0.2,0.5,1.4,4.7
207,John Jenkins,jenkijo01,SG,25,PHO,3,0,3.3,0.3,1.3,.250,0.0,0.3,.000,0.3,1.0,.333,.250,0.7,0.7,1.000,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,1.3
208,Brandon Jennings,jennibr01,PG,27,NYK,22,1,22.2,2.6,6.8,.383,1.0,3.2,.310,1.6,3.5,.449,.456,1.3,1.6,.778,0.5,2.3,2.7,5.1,1.0,0.0,1.9,1.5,7.5
209,Jonas Jerebko,jerebjo01,PF,29,BOS,22,1,17.3,1.9,3.9,.482,0.7,1.6,.457,1.1,2.3,.500,.576,0.3,0.4,.778,0.9,2.9,3.7,0.8,0.6,0.3,0.6,1.6,4.8
210,Amir Johnson,johnsam01,PF,29,BOS,22,21,19.7,2.6,4.7,.553,0.3,0.7,.375,2.3,4.0,.586,.583,1.0,1.1,.840,1.5,2.4,4.0,1.8,0.5,0.6,0.9,2.6,6.4
211,James Johnson,johnsja01,PF,29,MIA,20,0,24.4,3.6,7.7,.468,1.1,3.1,.344,2.6,4.7,.548,.536,1.7,2.1,.786,0.9,3.8,4.7,1.9,0.8,1.0,1.7,2.4,9.9
212,Joe Johnson,johnsjo02,SF,35,UTA,24,8,24.5,3.4,7.7,.443,1.3,3.2,.416,2.1,4.5,.463,.530,1.0,1.2,.793,0.4,2.9,3.3,2.0,0.5,0.1,0.9,1.2,9.1
213,Stanley Johnson,johnsst04,SF,20,DET,20,0,13.2,1.3,3.2,.397,0.4,1.2,.304,0.9,2.0,.450,.452,0.6,0.9,.647,0.4,1.8,2.2,0.8,0.4,0.4,0.6,1.3,3.4
214,Tyler Johnson,johnsty01,SG,24,MIA,21,0,30.4,4.5,10.7,.418,1.2,3.1,.385,3.3,7.6,.431,.473,2.9,3.8,.759,0.7,4.0,4.7,3.1,1.2,0.5,1.1,2.0,13.0
215,Wesley Johnson,johnswe01,SF,29,LAC,17,0,12.3,1.1,3.2,.333,0.5,1.9,.281,0.5,1.3,.409,.417,0.3,0.3,1.000,0.6,2.4,3.0,0.4,0.3,0.6,0.4,1.8,2.9
216,Nikola Jokic,jokicni01,PF,21,DEN,20,8,23.6,3.9,7.5,.520,0.3,1.1,.273,3.6,6.4,.563,.540,1.9,2.4,.792,2.4,4.8,7.2,2.7,0.7,0.6,1.5,3.1,10.0
217,Derrick Jones,jonesde02,SF,19,PHO,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
